year,month,pdf_url
2025,August,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250829_inflation_in_august_2025_ccpi_e.pdf
2025,July,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250731_inflation_in_july_2025_ccpi_e.pdf
2025,June,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250630_inflation_in_june_2025_ccpi_e.pdf
2025,May,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250530_inflation_in_may_2025_ccpi_e.pdf
2025,April,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250430_inflation_in_april_2025_ccpi_e.pdf
2025,March,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250328_inflation_in_march_2025_ccpi_e.pdf
2025,February,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250228_inflation_in_february_2025_ccpi_e.pdf
2025,January,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20250131_inflation_in_january_2025_ccpi_e.pdf
2024,December,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20241231_inflation_in_december_2024_ccpi_e.pdf
2024,November,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20241129_inflation_in_november_2024_ccpi_e.pdf
2024,October,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20241030_inflation_in_october_2024_ccpi_e.pdf
2024,September,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240930_inflation_in_september_2024_ccpi_e.pdf
2024,August,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240830_inflation_in_august_2024_ccpi_e.pdf
2024,July,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240731_inflation_in_july_2024_ccpi_e.pdf
2024,June,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240628_inflation_in_june_2024_ccpi_e.pdf
2024,May,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240531_inflation_in_may_2024_ccpi_e.pdf
2024,April,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240430_inflation_in_april_2023_ccpi_e.pdf
2024,March,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/press/pr/press_20240328_inflation_in_march_2024_ccpi_e.pdf
